	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
AAAS	21.08625	19.094	16.796	7.12375	5.595	13.51	22.5566666666667	13.1	14.61	4.08333333333333	3.43666666666667	6.92666666666667	9.23	13.565	11.895	8.32	5.695	7.005	7.07
AACS	3.09583333333333	2.24	1.99	1.5075	1.755	3.548	2.18666666666667	2.39666666666667	1.73333333333333	0.786666666666667	1.15333333333333	2.45333333333333	1.58333333333333	2.145	1.96	1.915	2.25	2.165	2.45
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0
AADAC	0.0758333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0.660416666666667	0.248	0.252	0.47625	0.235	0.31	0.396666666666667	0	0.233333333333333	0	0.0633333333333333	0	0.0933333333333333	0.285	0.125	0.575	0.345	0	0.2
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0.0491666666666667	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0
AADAT	0.666666666666667	0	0	0	0	0	0.03	0	0	0.116666666666667	0.02	0	0.0766666666666667	0	0.075	0.035	0	0	0.03
AAED1	25.4083333333333	33.688	40.788	44.67625	58.17	49.31	42.38	33.92	42.6066666666667	54.13	41.6666666666667	64.22	60.9066666666667	33.42	51.17	77.445	78.88	63.1	56.81
AAGAB	26.1729166666667	22.564	20.376	12.3625	10.05	17.324	16.9666666666667	18.07	14.96	9.11	10.14	12.5033333333333	11.6066666666667	20.38	17.11	13.485	16.145	16.36	19.92
AAK1	17.6625	16.576	15.712	10.685	15.0025	12.93	18.33	16.7866666666667	14.1966666666667	10.42	10.0233333333333	16.23	16.11	15.13	13.565	18.69	18.45	16.16	14.485
AAMDC	8.6975	5.464	5.032	4.82375	3.4275	5.652	9.75	9.52	9.13333333333333	5.63	4.42	3.11	8.26666666666667	10.56	14.785	8.93	8.23	9.68	15.115
AAMP	46.5633333333333	46.768	40.684	30.98125	33.96	36.78	41.6666666666667	35.2866666666667	34.7166666666667	20.06	18.9933333333333	29.4233333333333	33.4433333333333	35.19	32.16	32.39	33.48	30.445	28.645
AANAT	0.0716666666666667	0.038	0.168	0.17625	0.3225	0.07	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0.07	0
AAR2	22.3233333333333	21.424	14.848	18.45125	18.8875	20.916	24.5766666666667	15.0733333333333	15.18	15.0366666666667	17.9333333333333	17.11	14.53	16.385	13.91	14.315	13.635	14.615	19.575
AARD	0.35875	0.228	0.57	0.38375	0.48	0.292	0.166666666666667	0	0.09	0.0366666666666667	0.2	0.0833333333333333	0	0.16	0.205	0.045	0.15	0.12	0.08
AARS	101.69125	84.65	80.112	39.205	39.7575	50.55	114.986666666667	126.663333333333	118.906666666667	65.0433333333333	63.8966666666667	99.5666666666667	97.2866666666667	120.985	97.925	80.2	67.14	85.105	141.59
AARS2	4.33291666666667	3.748	3.024	1.22125	1.2925	2.544	5.14333333333333	2.62333333333333	2.5	0.903333333333333	0.773333333333333	2.25333333333333	1.81333333333333	2.765	2.155	1.225	0.76	1.635	2.435
AARSD1	6.78541666666667	5.834	4.842	3.0175	1.6075	3.692	8.33	10.28	10.18	5.11	3.47	5.72	6.69333333333333	10.31	11.13	9.11	4.955	4.465	7.35
AASDH	6.80208333333333	5.74	2.566	1.36	3.655	6.486	9.53	3.51	2.01333333333333	1.12333333333333	1.04333333333333	3.04333333333333	2.59666666666667	3.61	2.48	0.95	2.25	1.985	2.77
AASDHPPT	29.1120833333333	27.644	15.394	7.32875	12.6575	30.522	47.3166666666667	32.4666666666667	21.5866666666667	9.50333333333333	12.7366666666667	23.7033333333333	22.2066666666667	33.92	27.675	14.53	16.725	22.28	33.04
AASS	1.26166666666667	0.624	1.778	1.1325	0.55	0.718	1.42333333333333	0.183333333333333	0.256666666666667	0.296666666666667	0.34	0.61	0.87	0.28	0.125	0.41	0.305	0.18	0.185
AATBC	4.01541666666667	2.556	2.936	1.345	0.9825	1.294	0.963333333333333	2.5	2.30666666666667	1.10666666666667	0.7	1.62333333333333	1.12666666666667	2.345	2.185	1.665	1.42	1.935	1.12
AATF	54.5975	42.386	44.792	27.2425	28.5325	52.736	71.78	44.4533333333333	42.0733333333333	25.02	28.58	51.1933333333333	46.5266666666667	42.135	41.34	32.65	25.325	37.875	51.65
AATK	1.57583333333333	1.106	2.01	0.90125	0.1725	0.148	0.203333333333333	0.89	0.84	1.41333333333333	0.373333333333333	0.403333333333333	0.366666666666667	0.58	0.34	0.125	0.07	0.075	0.1
AATK-AS1	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	19.2504166666667	24.792	23.586	11.25625	4.655	1.586	2.95333333333333	24.9	23.4366666666667	12.6	6.06	2.14333333333333	3.28333333333333	23.855	18.64	15.815	7.835	2.02	3.575
ABCA1	34.8208333333333	27.4	43.17	48.46125	104.6725	60.408	50.1933333333333	41.1166666666667	54.6233333333333	106.37	110.46	159.856666666667	126.423333333333	38.36	38.765	65.165	72.11	69.85	72.06
ABCA10	0.125	0.098	0.044	0.09875	0.045	0.088	0.123333333333333	0	0.13	0.363333333333333	0.153333333333333	0.0333333333333333	0.06	0.09	0.08	0	0.015	0	0.01
ABCA11P	2.61458333333333	1.42	1.25	0.9725	1.5925	0.96	1.61333333333333	1.49	1.19	0.733333333333333	0.89	0.876666666666667	0.933333333333333	1.75	1.495	1.49	0.685	1.23	1.905
ABCA12	0.00375	0	0	0.005	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0
ABCA13	0.229583333333333	0.05	0.14	0.065	0.0425	0.078	0.12	0.02	0.0433333333333333	0.00333333333333333	0.0233333333333333	0.0433333333333333	0.0166666666666667	0.065	0.05	0.025	0.01	0.01	0.01
ABCA17P	0.01625	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0
ABCA2	7.82458333333333	8.916	9.13	7.115	6.865	2.296	2.31	3.86	4.76666666666667	2.74333333333333	2.29	1.58	0.526666666666667	3.77	2.78	2.76	2.555	2.22	1.645
ABCA3	0.783333333333333	1.086	0.682	0.51625	0.29	0.722	2.75333333333333	0.35	0.663333333333333	0.263333333333333	0.213333333333333	0.166666666666667	0.403333333333333	0.635	0.295	0.405	0.16	0.145	0.125
ABCA4	0.00625	0.01	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	1.46916666666667	1.15	0.99	1.02625	0.6225	1.566	2.36333333333333	0.873333333333333	1.47	2.22666666666667	1.99	2.6	1.66333333333333	0.565	0.585	0.46	0.38	0.21	0.05
ABCA6	4.195	9.61	6.63	5.45875	3.7975	1.916	1.43666666666667	1.21	1.15	1.15333333333333	1.11333333333333	0.233333333333333	0.0633333333333333	0.97	0.86	0.505	0.48	0.09	0.095
ABCA7	7.45083333333333	4.94	6.32	4.72375	5.475	1.946	4.45	5.51	5.72666666666667	5.07666666666667	4.02333333333333	2.99666666666667	5.15666666666667	5.505	4.58	4.04	4.285	3.215	2.82
ABCA8	0.025	0	0	0	0.045	0.016	0.01	0	0	0	0	0	0.0133333333333333	0	0	0	0	0	0
ABCA9	0.70125	0.612	1.28	0.8975	0.59	0.524	0.613333333333333	0.113333333333333	0.13	0.166666666666667	0.223333333333333	0.416666666666667	0.133333333333333	0.285	0.32	0.345	0.355	0.07	0.2
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0
ABCB1	0.969583333333333	0.276	0.122	0.15625	0.1	0.1	0.03	0.0233333333333333	0.0833333333333333	0.08	0.0466666666666667	0.0733333333333333	0.0433333333333333	0.03	0.095	0.13	0.19	0.045	0.03
ABCB10	12.7895833333333	13.236	9.138	11.3225	15.1675	15.64	13.2033333333333	12.1666666666667	11.7	9.55333333333333	9.56666666666667	12.9866666666667	9.82666666666667	14.375	14.245	12.805	16.14	20.24	11.815
ABCB11	0.102916666666667	0.008	0.014	0.0075	0	0	0.0133333333333333	0	0	0.0133333333333333	0	0	0	0.015	0	0	0	0.015	0
ABCB4	0.859166666666667	1.732	1.054	0.79375	0.8775	0.338	1.41	0.333333333333333	0.396666666666667	0.243333333333333	0.283333333333333	0.273333333333333	0.203333333333333	0.175	0.125	0.255	0.23	0.16	0.24
ABCB5	0.9125	0.358	0.946	1.01	0.945	1.524	2.75	1.02	1.02666666666667	1.05333333333333	1.07	2.82666666666667	4.93666666666667	1.84	1.51	0.875	1.06	0.65	0.76
ABCB6	1.37458333333333	1.722	1.19	0.64625	0.2675	1.382	1.27333333333333	1.19666666666667	1.06	0.526666666666667	0.436666666666667	0.986666666666667	1.11666666666667	1.615	0.945	0.66	0.455	0.555	2.24
ABCB7	28.6504166666667	28.518	24.914	16.65125	11.675	18.264	23.5633333333333	23.4166666666667	21.6533333333333	12.9366666666667	9.69333333333333	16.4733333333333	16.0266666666667	22.635	19.475	19.315	20.055	15.875	14.075
ABCB8	5.9175	5.984	6.434	3.72125	3.56	3.594	4.59666666666667	4.01666666666667	4.71	3.04	2.02	2.84666666666667	4.46666666666667	4.31	3.435	3.91	3.745	3.69	5.16
ABCB9	1.66583333333333	1.994	0.962	0.26	0.2425	0.186	0.136666666666667	0.29	0.443333333333333	0.22	0.0466666666666667	0.06	0.02	0.285	0.18	0.155	0.23	0.04	0.19
ABCC1	31.2883333333333	35.354	37.536	43.895	68.9125	37.666	37.5633333333333	24.68	26.3733333333333	28.12	30.7366666666667	46.91	41.0433333333333	22.455	18.35	19.71	25.325	26.315	24.38
ABCC10	6.59791666666667	7.304	6.224	3.77125	3.73	8.068	12.2233333333333	4.51666666666667	4.40666666666667	1.99333333333333	1.59666666666667	4.09	5.16666666666667	5.085	4.31	3.74	3.005	4.595	6.19
ABCC11	0.0458333333333333	0.014	0	0	0	0.042	0	0	0	0	0	0	0	0	0.02	0.05	0.095	0.11	0.06
ABCC12	0	0	0	0	0	0	0.0133333333333333	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0.295	0.276	0.258	0.225	0.3275	0.346	0.37	0.18	0.0766666666666667	0.0933333333333333	0.303333333333333	0.14	0.353333333333333	0.52	0.36	0.275	0.29	0.335	0.12
ABCC2	0.224166666666667	0.076	0.018	0.06375	0.0575	0.118	0.246666666666667	0.0266666666666667	0.0533333333333333	0.0433333333333333	0	0.0933333333333333	0.12	0.045	0.015	0.055	0.125	0.085	0.11
ABCC3	63.03125	108.01	85.512	66.915	69.685	49.418	51.4133333333333	39.9033333333333	41.3166666666667	35.14	25.2433333333333	17.51	38.3233333333333	40.58	32.7	33.975	27.13	18.78	10.035
ABCC4	10.6083333333333	8.666	6.136	8.73875	10.5525	4.888	9.32666666666667	7.46666666666667	7.32	5.26666666666667	4.80666666666667	3.29333333333333	4.08	5.815	5.18	4.26	2.86	1.86	1.71
ABCC5	18.1366666666667	17.682	19.628	6.34375	2.715	6.51	16.0233333333333	23.9933333333333	22.04	7.80333333333333	3.07	4.71333333333333	8.84333333333333	23.045	21.085	10.375	4.99	5.23	7.14
ABCC5-AS1	0.39875	0.664	1.35	0.20625	0.1325	0.482	0.166666666666667	0	0.953333333333333	0	0.0966666666666667	0.333333333333333	0	0.495	0	0	0.375	0	1.12
ABCC6	0.562916666666667	0.034	0	0.14125	0.125	0.01	0.0333333333333333	0	0.0166666666666667	0	0	0	0.123333333333333	0	0.03	0	0	0.015	0
ABCC6P1	0.0691666666666667	0.034	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0
ABCC6P2	0.220833333333333	0	0	0	0	0	0	0.0866666666666667	0	0	0	0	0	0	0	0	0	0.1	0.1
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	16.9866666666667	10.58	19.872	18.19875	11.94	11.03	11.25	2.63666666666667	3.61	5.72	3.82666666666667	3.94	2.92333333333333	5.525	3.875	2.895	2.415	2.37	2.63
ABCD1	32.3370833333333	33.144	36.776	28.28125	49.0725	32.698	33.1733333333333	28.0266666666667	32.11	18	16.8433333333333	33.8433333333333	25.65	28.1	24.105	33.96	49.96	82.985	88.035
ABCD2	0.233333333333333	0.162	0.156	0.01625	0.03	0.096	0.453333333333333	0.03	0	0.0233333333333333	0	0.0366666666666667	0	0.045	0.015	0.03	0.015	0.01	0.015
ABCD3	17.3975	17.642	11.564	7.24875	6.37	8.53	11.7533333333333	16.2733333333333	15.27	7.48	4.24666666666667	8.33666666666667	8.83333333333333	18.94	18.795	15.775	11.15	7.165	8.82
ABCD4	12.8954166666667	13.58	10.066	6.53625	4.9175	9.804	9.79	14.8933333333333	14.4733333333333	8.73666666666667	5.33333333333333	7.33666666666667	13.43	14.555	13.205	12.03	11.01	12.985	21.265
ABCE1	47.3225	47.824	45.85	39.63125	16.6325	39.584	59.9666666666667	43.8133333333333	41.8833333333333	24.3733333333333	32.2266666666667	30.87	31.19	44.515	43.47	21.125	13.085	11.455	15.05
ABCF1	46.2195833333333	45.466	55.644	49.32375	39.1225	54.022	63.2833333333333	33.4266666666667	38.6233333333333	36.44	39.43	51.04	33.2566666666667	28.605	25.64	20.635	22.775	32.655	35.53
ABCF2	16.6233333333333	17.214	11.862	8.76	7.18	13.96	24.8766666666667	12.94	12.56	5.73333333333333	6.32	9.77666666666667	7.98666666666667	12.47	9.745	6.195	5.595	6.94	8.22
ABCF3	24.9658333333333	23.66	15.06	11.0025	14.5125	22.416	36.1833333333333	17.9633333333333	14.29	10.3366666666667	10.08	24.27	19.1666666666667	18.11	13.45	10.78	10.6	14.015	18.895
ABCG1	54.98375	62.704	53.374	29.1325	41.8425	15.056	21.0233333333333	71.7366666666667	74.0966666666667	36.5333333333333	24.1933333333333	33.4833333333333	36.15	67.015	58.92	51.975	40.18	20.895	44.805
ABCG2	11.7145833333333	18.422	12.68	11.56125	8.795	12.992	5.09666666666667	14.47	13.6333333333333	17.8433333333333	20.2533333333333	16.3033333333333	7.54	15.845	16.63	17.975	23.985	15.11	4.27
ABCG4	0.0320833333333333	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0.072	0.01375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0.00875	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0
ABHD1	0.172083333333333	0.058	0.036	0.03625	0.0375	0	0.0633333333333333	0	0	0	0	0	0	0	0.055	0	0.065	0	0
ABHD10	36.4058333333333	39.304	12.176	4.23625	5.1725	17.17	22.85	23.15	14.7533333333333	3.34	3.10666666666667	5.66333333333333	8.27	22.85	16.74	10.51	18.16	19.85	24.2
ABHD11	11.0741666666667	8.404	7.458	2.67875	3.22	5.458	8.96666666666667	6.89333333333333	6.23	1.74	1.83	3.14666666666667	3.80666666666667	8.14	8.21	4.995	4.65	7.485	6.525
ABHD11-AS1	0.0516666666666667	0	0.168	0	0	0	0.27	0	0.346666666666667	0	0	0.226666666666667	0.143333333333333	0	0.71	0	0.57	0.87	1.54
ABHD12	103.665	126.726	113.85	105.80375	107.085	78.076	99.55	128.806666666667	140.776666666667	133.036666666667	114.466666666667	133.03	133.22	138.825	123.38	144.245	169.56	176.725	207.58
ABHD12B	0.98125	0.358	0.326	0.3575	0.12	0.18	0.176666666666667	0	0	0.0433333333333333	0.136666666666667	0.2	0.0966666666666667	0.09	0	0	0	0.09	0
ABHD13	12.12625	12.502	9.586	9.075	10.1875	12.9	13.0933333333333	13.2566666666667	10.8733333333333	9.94333333333333	9.41666666666667	12.9566666666667	12.3233333333333	12.605	14.915	12.32	11.6	9.655	12.53
ABHD14A	9.31541666666667	6.908	9.056	6.11	4.84	1.09	4.31666666666667	9.31	10.0866666666667	5.17333333333333	3.92333333333333	0.613333333333333	1.06333333333333	11.635	10.585	8.26	7.295	6.1	7.415
ABHD14A-ACY1	3.18291666666667	3.484	2.628	2.18625	1.2575	1.096	3.68333333333333	3.60333333333333	6.07	2.42	0.106666666666667	0	0.273333333333333	3.71	2.04	3.965	0	0.53	3.29
ABHD14B	48.1895833333333	41.488	41.208	28.38625	25.875	12.244	37.6933333333333	37.91	37.4633333333333	24.3166666666667	18.23	6.88333333333333	12.4433333333333	39.32	34.78	34.715	28.37	14.025	12.91
ABHD15	12.0745833333333	12.436	6.732	1.685	2.74	9.394	12.98	11.2933333333333	8.03	0.54	0.566666666666667	5.16333333333333	3.85333333333333	11.845	7.605	3.095	3.23	8.21	13.905
ABHD16A	54.58875	65.316	53.81	46.645	41.59	48.848	43.0733333333333	49.75	56.3866666666667	37.42	29.2466666666667	37.94	37.2766666666667	57.04	55.575	57.62	59.67	74.175	64.74
ABHD16B	4.96166666666667	5.79	9.576	3.92125	2.1075	3.61	3.16	0	0.06	0	0	0.0566666666666667	0	0	0	0	0	0	0.04
ABHD17A	62.3325	52.14	39.79	26.51875	27.45	33.098	26.7533333333333	41.6533333333333	40.8066666666667	24.3533333333333	17.01	32.59	33.86	45.295	40.385	42.14	40.415	39.555	39.78
ABHD17B	13.1504166666667	7.072	3.466	5.88	8.0275	9.332	11.4633333333333	6.98333333333333	3.61	6.57	6.18333333333333	9.04	8.57333333333333	9.005	10.16	9.865	12.68	11.875	16.52
ABHD17C	1.15416666666667	0.282	0.292	0.55375	0.695	1.862	1.74666666666667	0.143333333333333	0.0333333333333333	0.593333333333333	1.70666666666667	4.48333333333333	3.35666666666667	0.095	0.145	0.33	0.255	0.175	0.18
ABHD2	243.130833333333	326.6	262.634	147.74	80.485	48.238	73.37	171.35	167.386666666667	94.1666666666667	47.7033333333333	27.7533333333333	75.3433333333333	168.73	129.7	118.55	90.435	61.865	50.295
ABHD3	22.0466666666667	26.982	19.166	16.71125	14.5175	25.052	29.1866666666667	34.0233333333333	31.43	24.2166666666667	16.9266666666667	19.3066666666667	48.6833333333333	37.44	39.21	38.805	36.14	39.415	50.68
ABHD4	41.1629166666667	54.778	44.368	31.2025	22.4675	70.934	167.64	42.9533333333333	36.83	30.44	37.5866666666667	65.7566666666667	58.9966666666667	41.465	29.685	21.77	13.52	10.145	21.655
ABHD5	19.2808333333333	18.262	14.686	8.8675	11.595	14.982	16.38	21.65	19.9866666666667	8.7	12.33	18.2466666666667	20.0533333333333	24.36	27.47	21.315	16.085	13.6	20.12
ABHD6	35.1254166666667	43.486	29.308	7.43	4.835	19.574	24.6466666666667	52.1833333333333	41.7866666666667	7.88333333333333	5.12	20.5166666666667	26.51	46.045	34.04	16.39	18.095	29.2	36.62
ABHD8	21.2616666666667	21.894	16.03	3.6275	4.2625	15.116	34.4433333333333	20.01	18.2066666666667	4.29	1.98	10.5333333333333	13.1533333333333	18.01	15.275	7.09	4.085	5.81	14.61
ABI1	113.742916666667	148.526	167.62	243.86125	192.955	155.558	124.37	7.42333333333333	7.60666666666667	18.31	19.4866666666667	15.26	14.9033333333333	6.59	6.335	9.315	11.235	14.475	14.48
ABI2	14.0345833333333	13.3	11.906	7.135	4.0975	4.822	7.24333333333333	7.80666666666667	7.38	4.14	3.09333333333333	2.47333333333333	3.08	7.325	6.225	5.215	3.235	2.4	4.025
ABI3	31.2470833333333	18.39	9.74	3.94	1.9875	1.512	1.55666666666667	13.0166666666667	8.10666666666667	3.75666666666667	2.77333333333333	0.823333333333333	0.586666666666667	9.73	8.45	15.06	13.54	13.195	12.375
ABI3BP	0.243333333333333	0.16	0.194	0.245	0.15	0.19	0.26	0	0	0	0	0.0333333333333333	0.0133333333333333	0.02	0	0	0	0	0.015
ABL1	27.6925	26.14	18.876	8.04375	9.49	15.236	23.4733333333333	17.76	14.6166666666667	4.34666666666667	5.65333333333333	11.7166666666667	9.29	16.26	12.09	6.145	5.92	11.61	17.13
ABL2	43.4116666666667	219.332	280.708	143.5425	150.1025	137.842	93.9033333333333	73.02	149.263333333333	91.5033333333333	87.1633333333333	93.5733333333333	51.5833333333333	46.605	74.07	35.17	38.23	30.19	25.61
ABLIM1	1.72125	0.378	0.34	0.35625	0.3175	0.47	0.373333333333333	0.106666666666667	0.11	0.173333333333333	0.11	0.18	0.173333333333333	0.085	0.06	0.045	0.1	0.085	0.08
ABLIM2	0.0383333333333333	0	0.02	0	0	0	0.0633333333333333	0	0	0	0	0	0	0.06	0	0	0	0	0
ABLIM3	0.357083333333333	0.242	0.114	0.04	0.045	0.048	0.14	0.09	0.0433333333333333	0.02	0.24	0.13	0.133333333333333	0.16	0.075	0.13	0.085	0.05	0.045
ABO	0.4275	0.46	0.25	0.1375	0.11	0	0.293333333333333	0.05	0.1	0	0	0.0966666666666667	0.123333333333333	0.08	0.225	0.095	0.115	0.18	0.39
ABR	198.599583333333	214.706	235.074	176.085	199.6325	146.904	184.266666666667	171.91	174.94	109.026666666667	80.99	125.943333333333	127.966666666667	160.38	127.605	107.32	104.595	111.935	104.98
ABRA	0.193333333333333	0.094	0.054	0.02875	0.04	0.042	0	0	0	0	0	0	0	0	0	0	0.03	0	0
ABRACL	109.41875	96.434	55.7	68.41	84.7125	65.85	33.4866666666667	109.866666666667	90.2	68.8766666666667	61.1966666666667	34.07	47.7	115.87	131.79	157.985	222.78	209.495	156.175
ABT1	15.8620833333333	9.85	6.76	7.655	7.2925	10.888	12.0366666666667	13.3133333333333	8.14666666666667	8.63666666666667	8.39	12.2666666666667	9.05666666666667	14.35	13.855	11.13	10.355	13.545	15.59
ABTB1	21.30375	10.932	10.126	6.59125	6.425	10.644	16.1366666666667	8.37666666666667	9.74	6.04	5.38333333333333	5.31333333333333	9.84333333333333	9.57	7.295	6.785	4.845	4.59	9.005
ABTB2	1.28	0.996	6.434	51.38875	32.5475	34.568	34.0766666666667	0.5	1.14333333333333	27.6066666666667	20.39	5.84	4.66	0.405	1.225	12.505	18.6	15.98	15.195
ACAA1	44.1341666666667	39.88	33.356	26.865	23.3625	30.132	35.0666666666667	29.7233333333333	27.6733333333333	18.1333333333333	9.85333333333333	17.1633333333333	20.2666666666667	32.865	34.33	31.38	30.44	33.89	38.61
ACAA2	148.335833333333	182.498	127.346	108.455	84.0175	115.256	119.183333333333	167.5	149.373333333333	118.283333333333	91.2066666666667	89.05	103.38	201.49	205.605	168.67	161.9	103.755	97.135
ACACA	9.80666666666667	7.23	7.824	4.93375	2.7425	5.672	7.12666666666667	4.85333333333333	4.48666666666667	2.97	1.77666666666667	2.53333333333333	2.93333333333333	4.445	3.915	3.525	2.13	0.94	1.325
ACACB	1.71041666666667	1.6	1.288	0.41875	0.4625	0.348	1.2	1.27666666666667	1.09333333333333	0.49	0.19	0.153333333333333	0.226666666666667	1.14	0.77	0.43	0.395	0.415	0.43
ACAD10	9.08708333333333	9.924	9.414	4.16875	2.525	4.744	9.82666666666667	6.69	7.01	2.39	1.08666666666667	2.86666666666667	2.78	6.615	5.06	3.46	2.64	2.96	3.525
ACAD11	2.53458333333333	0.988	1.136	0.6025	0.705	1.122	1.9	1.35666666666667	1.23333333333333	0.8	0.0566666666666667	0.746666666666667	0.95	1.055	1.05	1.085	0.65	0.78	1.23
ACAD8	7.2825	6.06	3.544	1.39125	1.545	4.18	5.82	5.78333333333333	5.8	1.27666666666667	1.22333333333333	4.19	5.82666666666667	6.555	6.245	4.665	1.42	3.415	5.26
ACAD9	22.1170833333333	20.864	20.816	12.045	9.7975	14.084	20.0166666666667	17.7533333333333	17.1166666666667	10.3066666666667	6.86666666666667	9.94	11.7533333333333	17.27	14.515	13.63	12.46	16.305	17.015
ACADL	0.00458333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0.065	0	0
ACADM	51.7720833333333	62.898	45.156	38.29	25.195	35.322	34.95	47.05	40.63	35.73	27.8633333333333	20.8833333333333	20.73	48.38	48.165	44.69	49.65	46.205	49.505
ACADS	11.7025	11.698	11.412	5.4075	6.1775	10.82	11.2366666666667	10.7166666666667	10.86	6.62	3.91666666666667	6.30666666666667	5.51333333333333	11.735	9.85	10.625	8.525	13.055	14.79
ACADSB	5.8925	5.014	5.644	4.16375	3.3025	2.88	6.65333333333333	5.14666666666667	4.60333333333333	3.43666666666667	2.22333333333333	1.62333333333333	2.60666666666667	4.945	4.76	5.18	4.25	1.615	2.31
ACADVL	112.80625	111.242	99.47	99.69125	107.5625	86.31	99.87	60.6433333333333	64.64	62.53	53.5666666666667	45.3266666666667	45.2066666666667	60.37	58.43	60.155	63.405	73.88	79.22
ACAN	0.00708333333333333	0	0.02	0.00625	0.035	0.012	0.0266666666666667	0	0	0	0	0	0	0	0	0	0	0.01	0
ACAP1	13.1129166666667	3.244	3.444	1.00625	1.8325	2.846	3.31666666666667	1.37333333333333	1.85	0.336666666666667	0.42	1.32333333333333	1.62	1.315	1.1	1.5	1.515	1.305	0.86
ACAP2	55.16875	45.36	33.864	15.98625	24.4275	39.242	49.6466666666667	55.5066666666667	45.6533333333333	20.7733333333333	28.1933333333333	54.3466666666667	62.5866666666667	50.63	46.46	37.475	38.79	36.955	47.105
ACAP3	6.0375	5.304	6.328	2.81375	1.66	2.646	3.15666666666667	4.39	3.72333333333333	1.92666666666667	1.02666666666667	2.17	1.97666666666667	3.51	3.1	3.115	1.875	1.685	2.69
ACAT1	27.36	22.894	20.62	17.59125	15.9	16.772	22.02	28.92	25.37	20.75	14.94	14.36	18.31	32.43	30.51	27.475	31.38	22.33	20.47
