disease	event	number	loc	state	Year	Month	Day
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	8	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	9	6
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	9	6
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	9	6
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1894	9	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	9	13
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	4	WORCESTER	MA	1894	9	13
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	9	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1894	9	21
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	9	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	9	28
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	4	WORCESTER	MA	1894	9	28
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	9	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1894	10	5
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1894	10	5
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	10	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1894	10	12
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	10	12
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1894	10	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1894	10	26
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	10	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1894	11	2
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	11	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1894	11	9
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	11	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1894	11	16
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	11	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	11	23
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	11	23
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1894	11	23
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	11	23
MEASLES	DEATHS	1	WORCESTER	MA	1894	11	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1894	11	30
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	11	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1894	12	7
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1894	12	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1894	12	14
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1894	12	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	12	21
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	12	21
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1894	12	21
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	12	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1894	12	28
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	12	28
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	12	28
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1894	12	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	1	4
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1895	1	4
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	1	4
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	1	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	1	18
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	1	18
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1895	1	18
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1895	1	18
MEASLES	DEATHS	1	WORCESTER	MA	1895	1	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	1	25
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	1	25
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	1	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	2	2
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	2	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	2	9
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	2	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	8	WORCESTER	MA	1895	2	16
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1895	2	16
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	2	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1895	2	23
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	2	23
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	2	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	8	WORCESTER	MA	1895	3	2
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	3	2
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	3	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	3	9
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	3	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	3	16
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	3	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	11	WORCESTER	MA	1895	3	23
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	3	23
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	3	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	10	WORCESTER	MA	1895	3	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1895	4	6
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	4	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1895	4	12
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	4	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1895	4	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	4	26
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	4	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1895	5	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1895	5	11
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	5	11
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	5	11
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	5	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	11	WORCESTER	MA	1895	5	18
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1895	5	18
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	5	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1895	5	25
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	5	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	6	1
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	6	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1895	6	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	6	15
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	6	15
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	6	15
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	6	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	6	22
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	6	22
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1895	7	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	7	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	7	20
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	7	20
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	7	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	7	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	8	3
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1895	8	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1895	8	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	8	17
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	8	17
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	8	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	8	WORCESTER	MA	1895	8	24
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1895	8	24
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	8	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	8	31
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	8	31
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	9	7
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1895	9	7
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	9	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1895	9	14
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	9	14
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	9	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1895	9	21
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	9	21
DIPHTHERIA	DEATHS	4	WORCESTER	MA	1895	9	21
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	9	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	9	28
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	3	WORCESTER	MA	1895	9	28
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	9	28
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1895	9	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	9	WORCESTER	MA	1895	10	5
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	10	5
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	10	5
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	10	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1895	10	12
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	10	12
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	10	12
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	10	19
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	10	19
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	10	26
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1895	10	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1895	11	2
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	11	2
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1895	11	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1895	11	9
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1895	11	9
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	11	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1895	11	16
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	11	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1895	11	23
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	11	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	11	30
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	11	30
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	8	WORCESTER	MA	1895	12	7
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	12	7
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	12	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1895	12	14
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1895	12	14
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1895	12	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1895	12	21
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1895	12	21
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1895	12	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1895	12	28
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1895	12	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	1	4
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	1	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	1	11
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	1	11
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	1	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1896	1	18
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1896	1	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1896	2	1
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	2	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	2	8
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	2	8
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	2	8
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1896	2	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	2	14
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	2	14
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	2	14
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	2	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	2	21
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	2	21
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	2	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	2	29
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	2	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1896	3	7
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	3	7
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	3	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	9	WORCESTER	MA	1896	3	14
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	3	21
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	3	21
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1896	3	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	3	28
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	3	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1896	4	4
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	4	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	4	11
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	4	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1896	4	18
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	4	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1896	4	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	9	WORCESTER	MA	1896	5	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	5	9
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	5	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	11	WORCESTER	MA	1896	5	16
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	5	23
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1896	6	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1896	6	13
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	6	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1896	6	20
MEASLES	DEATHS	1	WORCESTER	MA	1896	6	20
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1896	6	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	6	27
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	6	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1896	7	4
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	7	4
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	7	4
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	8	WORCESTER	MA	1896	7	11
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	7	11
MEASLES	DEATHS	1	WORCESTER	MA	1896	7	11
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	7	18
MEASLES	DEATHS	1	WORCESTER	MA	1896	7	18
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	7	25
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	7	25
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1896	8	1
WHOOPING COUGH [PERTUSSIS]	DEATHS	1	WORCESTER	MA	1896	8	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1896	8	8
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	8	8
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	8	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1896	8	15
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	8	15
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	8	22
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1896	8	22
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	8	22
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1896	8	29
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	8	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1896	9	5
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	9	5
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1896	9	12
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	9	12
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	9	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	9	19
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	9	19
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1896	9	19
MEASLES	DEATHS	1	WORCESTER	MA	1896	9	19
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1896	9	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1896	10	3
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	10	3
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1896	10	17
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	10	17
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1896	10	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	10	24
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	10	24
DIPHTHERIA	DEATHS	4	WORCESTER	MA	1896	10	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	10	31
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	10	31
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1896	11	7
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	11	24
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	11	24
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	6	WORCESTER	MA	1896	11	21
DIPHTHERIA	DEATHS	3	WORCESTER	MA	1896	11	21
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	11	28
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	11	28
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1896	12	12
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1896	12	12
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	12	12
MEASLES	DEATHS	1	WORCESTER	MA	1896	12	12
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1896	12	19
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1896	12	19
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1896	12	19
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1896	12	26
DIPHTHERIA	DEATHS	5	WORCESTER	MA	1896	12	26
MEASLES	DEATHS	3	WORCESTER	MA	1896	12	26
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1897	1	2
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1897	1	2
MEASLES	DEATHS	1	WORCESTER	MA	1897	1	2
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1897	1	9
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1897	1	9
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1897	1	9
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1897	1	9
MEASLES	DEATHS	1	WORCESTER	MA	1897	1	9
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1897	1	16
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1897	1	16
