sample	country	region	hdbcluster	reads	collection_year
Malawi.196_t1	Malawi	East Africa	5	Malawi.196	2011
Ghana.381_t1	Ghana	West Africa	5	Ghana.381	2013
Cambodia.148_t3	Cambodia	South East Asia	5	Cambodia.148	2010
Cambodia.148_t3	Cambodia	South East Asia	5	Cambodia.288	2011
Cambodia.148_t3	Viet_Nam	South East Asia	5	Viet_Nam.054	2011
Malawi.097_t1	Malawi	East Africa	5	Malawi.097	2011
Malawi.062_t1	Malawi	East Africa	5	Malawi.062	2011
Ghana.041_t3	Ghana	West Africa	5	Ghana.041	2009
Ghana.041_t3	Ghana	West Africa	5	Ghana.315	2012
Ghana.041_t3	Ghana	West Africa	5	Ghana.468	2013
Myanmar.26_t1	Myanmar	South East Asia	5	Myanmar.26	2012
Senegal.027_t1	Senegal	West Africa	5	Senegal.027	2010
Ghana.165_t3	Ghana	West Africa	5	Ghana.165	2010
Ghana.165_t3	Mali	West Africa	5	Mali.58	2007
Ghana.165_t3	Senegal	West Africa	5	Senegal.066	2009
Malawi.014_t5	Malawi	East Africa	5	Malawi.014	2011
Malawi.014_t5	Malawi	East Africa	5	Malawi.095	2011
Malawi.014_t5	Malawi	East Africa	5	Malawi.149	2011
Malawi.014_t5	Malawi	East Africa	5	Malawi.261	2011
Malawi.014_t5	Ghana	West Africa	5	Ghana.426	2013
Malawi.040_t2	Malawi	East Africa	5	Malawi.040	2011
Malawi.040_t2	Uganda	East Africa	5	Uganda.3	2006
Ghana.189_t3	Ghana	West Africa	5	Ghana.189	2010
Ghana.189_t3	Ghana	West Africa	5	Ghana.492	2011
Ghana.189_t3	Mali	West Africa	5	Mali.09	2002
Guinea.31_t1	Guinea	West Africa	5	Guinea.31	2011
DRC.070_t4	DRC	Central Africa	5	DRC.070	2013
DRC.070_t4	DRC	Central Africa	5	DRC.096	2013
DRC.070_t4	Ghana	West Africa	5	Ghana.011	2009
DRC.070_t4	Malawi	East Africa	5	Malawi.234	2011
Mali.36_t1	Mali	West Africa	5	Mali.36	2007
Malawi.144_t2	Malawi	East Africa	5	Malawi.144	2011
Malawi.144_t2	Malawi	East Africa	5	Malawi.179	2011
Malawi.077_t1	Malawi	East Africa	5	Malawi.077	2011
Bangladesh.47_t1	Bangladesh	South East Asia	5	Bangladesh.47	2012
Ghana.144_t3	Ghana	West Africa	5	Ghana.144	2010
Ghana.144_t3	Guinea	West Africa	5	Guinea.30	2011
Ghana.144_t3	Senegal	West Africa	5	Senegal.002	2004
Malawi.172_t2	Malawi	East Africa	5	Malawi.172	2011
Malawi.172_t2	Malawi	East Africa	5	Malawi.255	2011
Ghana.031_t3	Ghana	West Africa	5	Ghana.031	2009
Ghana.031_t3	Ghana	West Africa	5	Ghana.221	2010
Ghana.031_t3	Mali	West Africa	5	Mali.24	2007
Bangladesh.37_t1	Bangladesh	South East Asia	5	Bangladesh.37	2012
Ghana.151_t1	Ghana	West Africa	6	Ghana.151	2010
5_1.1_t1	5_1-1	Lab	6	5_1-1	"NA"
Ghana.296_t1	Ghana	West Africa	6	Ghana.296	2012
Senegal.001_t1	Senegal	West Africa	6	Senegal.001	2004
Ghana.083_t1	Ghana	West Africa	6	Ghana.083	2009
Ghana.255_t1	Ghana	West Africa	6	Ghana.255	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.397	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.398	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.399	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.401	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.405	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.416	2011
Cambodia.397_t8	Cambodia	South East Asia	6	Cambodia.417	2011
Cambodia.397_t8	Viet_Nam	South East Asia	6	Viet_Nam.097	2011
Laos.44_t2	Laos	South East Asia	6	Laos.44	2011
Laos.44_t2	Thailand	South East Asia	6	Thailand.108	2012
Ghana.078_t1	Ghana	West Africa	6	Ghana.078	2010
Senegal.014_t1	Senegal	West Africa	6	Senegal.014	2010
Ghana.177_t2	Ghana	West Africa	6	Ghana.177	2010
Ghana.177_t2	Ghana	West Africa	6	Ghana.301	2012
Malawi.262_t1	Malawi	East Africa	6	Malawi.262	2011
Cambodia.386_t4	Cambodia	South East Asia	6	Cambodia.386	2011
Cambodia.386_t4	Cambodia	South East Asia	6	Cambodia.389	2011
Cambodia.386_t4	Cambodia	South East Asia	6	Cambodia.390	2011
Cambodia.386_t4	Cambodia	South East Asia	6	Cambodia.485	2012
Cambodia.215_t4	Cambodia	South East Asia	6	Cambodia.215	2011
Cambodia.215_t4	Cambodia	South East Asia	6	Cambodia.373	2011
Cambodia.215_t4	Laos	South East Asia	6	Laos.12	2011
Cambodia.215_t4	Laos	South East Asia	6	Laos.22	2011
DRC.040_t3	DRC	Central Africa	6	DRC.040	2013
DRC.040_t3	Ghana	West Africa	6	Ghana.131	2010
DRC.040_t3	Ghana	West Africa	6	Ghana.270	2011
Ghana.200_t1	Ghana	West Africa	6	Ghana.200	2011
Mali.64_t1	Mali	West Africa	6	Mali.64	2007
DRC.071_t1	DRC	Central Africa	6	DRC.071	2013
DRC.012_t3	DRC	Central Africa	6	DRC.012	2013
DRC.012_t3	Ghana	West Africa	6	Ghana.258	2011
DRC.012_t3	Guinea	West Africa	6	Guinea.66	2011
Malawi.205_t2	Malawi	East Africa	6	Malawi.205	2011
Malawi.205_t2	Uganda	East Africa	6	Uganda.5	2006
Ghana.256_t2	Ghana	West Africa	6	Ghana.256	2010
Ghana.256_t2	Guinea	West Africa	6	Guinea.50	2011
Ghana.050_t3	Ghana	West Africa	6	Ghana.050	2009
Ghana.050_t3	Ghana	West Africa	6	Ghana.162	2010
Ghana.050_t3	Ghana	West Africa	6	Ghana.333	2012
Malawi.011_t2	Malawi	East Africa	6	Malawi.011	2011
Malawi.011_t2	Malawi	East Africa	6	Malawi.228	2011
Ghana.129_t1	Ghana	West Africa	6	Ghana.129	2010
DRC.088_t1	DRC	Central Africa	6	DRC.088	2013
Malawi.055_t1	Malawi	East Africa	6	Malawi.055	2011
Malawi.139_t1	Malawi	East Africa	6	Malawi.139	2011
Ghana.032_t1	Ghana	West Africa	6	Ghana.032	2009
Gambia.17_t1	Gambia	West Africa	6	Gambia.17	2008
Ghana.251_t1	Ghana	West Africa	6	Ghana.251	2011
Malawi.107_t1	Malawi	East Africa	6	Malawi.107	2011
Ghana.242_t1	Ghana	West Africa	6	Ghana.242	2011
Ghana.187_t2	Ghana	West Africa	6	Ghana.187	2010
Ghana.187_t2	Ghana	West Africa	6	Ghana.275	2010
Malawi.032_t2	Malawi	East Africa	6	Malawi.032	2011
Malawi.032_t2	Malawi	East Africa	6	Malawi.089	2011
Mali.10_t1	Mali	West Africa	6	Mali.10	2002
Guinea.08_t1	Guinea	West Africa	6	Guinea.08	2011
Ghana.140_t3	Ghana	West Africa	6	Ghana.140	2010
Ghana.140_t3	Ghana	West Africa	6	Ghana.249	2009
Ghana.140_t3	Ghana	West Africa	6	Ghana.245	2011
Gambia.24_t3	Gambia	West Africa	6	Gambia.24	2008
Gambia.24_t3	Gambia	West Africa	6	Gambia.32	2008
Gambia.24_t3	Gambia	West Africa	6	Gambia.52	2008
Ghana.481_t1	Ghana	West Africa	6	Ghana.481	2013
Ghana.463_t1	Ghana	West Africa	6	Ghana.463	2013
Ghana.206_t1	Ghana	West Africa	6	Ghana.206	2011
Ghana.390_t1	Ghana	West Africa	6	Ghana.390	2013
Malawi.043_t1	Malawi	East Africa	6	Malawi.043	2011
Gambia.13_t3	Gambia	West Africa	6	Gambia.13	2008
Gambia.13_t3	Gambia	West Africa	6	Gambia.19	2008
Gambia.13_t3	Ghana	West Africa	6	Ghana.108	2010
Ghana.076_t2	Ghana	West Africa	6	Ghana.076	2010
Ghana.076_t2	Ghana	West Africa	6	Ghana.077	2010
Ghana.268_t1	Ghana	West Africa	6	Ghana.268	2010
Malawi.038_t2	Malawi	East Africa	6	Malawi.038	2011
Malawi.038_t2	Malawi	East Africa	6	Malawi.168	2011
DRC.014_t9	DRC	Central Africa	6	DRC.014	2013
DRC.014_t9	Gambia	West Africa	6	Gambia.36	2008
DRC.014_t9	Ghana	West Africa	6	Ghana.304	2012
DRC.014_t9	Ghana	West Africa	6	Ghana.311	2012
DRC.014_t9	Guinea	West Africa	6	Guinea.34	2011
DRC.014_t9	Guinea	West Africa	6	Guinea.49	2011
DRC.014_t9	Malawi	East Africa	6	Malawi.166	2011
DRC.014_t9	Malawi	East Africa	6	Malawi.219	2011
DRC.014_t9	Malawi	East Africa	6	Malawi.241	2011
Gambia.03_t5	Gambia	West Africa	5	Gambia.03	2008
Gambia.03_t5	Ghana	West Africa	5	Ghana.178	2010
Gambia.03_t5	Ghana	West Africa	5	Ghana.406	2013
Gambia.03_t5	Mali	West Africa	5	Mali.35	2007
Gambia.03_t5	Guinea	West Africa	5	Guinea.64	2011
Cambodia.132_t1	Cambodia	South East Asia	5	Cambodia.132	2010
Cambodia.069_t4	Cambodia	South East Asia	5	Cambodia.069	2011
Cambodia.069_t4	Cambodia	South East Asia	5	Cambodia.348	2011
Cambodia.069_t4	Viet_Nam	South East Asia	5	Viet_Nam.032	2011
Cambodia.069_t4	Viet_Nam	South East Asia	5	Viet_Nam.088	2012
Cambodia.153_t3	Cambodia	South East Asia	5	Cambodia.153	2010
Cambodia.153_t3	Viet_Nam	South East Asia	5	Viet_Nam.011	2011
Cambodia.153_t3	Viet_Nam	South East Asia	5	Viet_Nam.096	2011
Malawi.135_t1	Malawi	East Africa	5	Malawi.135	2011
Viet_Nam.065_t1	Viet_Nam	South East Asia	5	Viet_Nam.065	2011
Ghana.317_t2	Ghana	West Africa	6	Ghana.317	2012
Ghana.317_t2	Malawi	East Africa	6	Malawi.036	2011
Mali.33_t1	Mali	West Africa	6	Mali.33	2007
Ghana.471_t1	Ghana	West Africa	6	Ghana.471	2013
Malawi.191_t1	Malawi	East Africa	6	Malawi.191	2011
Mali.22_t1	Mali	West Africa	6	Mali.22	2010
Malawi.020_t1	Malawi	East Africa	6	Malawi.020	2011
Senegal.017_t1	Senegal	West Africa	6	Senegal.017	2009
Ghana.379_t1	Ghana	West Africa	6	Ghana.379	2012
Ghana.305_t1	Ghana	West Africa	6	Ghana.305	2012
Guinea.85_t5	Guinea	West Africa	6	Guinea.85	2011
Guinea.85_t5	Malawi	East Africa	6	Malawi.054	2011
Guinea.85_t5	Malawi	East Africa	6	Malawi.096	2011
Guinea.85_t5	Malawi	East Africa	6	Malawi.169	2011
Guinea.85_t5	Senegal	West Africa	6	Senegal.091	2009
Senegal.083_t1	Senegal	West Africa	6	Senegal.083	2009
Senegal.101_t1	Senegal	West Africa	6	Senegal.101	2008
Ghana.043_t9	Ghana	West Africa	6	Ghana.043	2009
Ghana.043_t9	Ghana	West Africa	6	Ghana.114	2010
Ghana.043_t9	Ghana	West Africa	6	Ghana.222	2011
Ghana.043_t9	Guinea	West Africa	6	Guinea.48	2011
Ghana.043_t9	Guinea	West Africa	6	Guinea.54	2011
Ghana.043_t9	Guinea	West Africa	6	Guinea.77	2011
Ghana.043_t9	Guinea	West Africa	6	Guinea.96	2011
Ghana.043_t9	Mali	West Africa	6	Mali.62	2007
Ghana.043_t9	Nigeria	West Africa	6	Nigeria.1	2011
Cambodia.204_t6	Cambodia	South East Asia	6	Cambodia.204	2009
Cambodia.204_t6	Cambodia	South East Asia	6	Cambodia.222	2011
Cambodia.204_t6	Cambodia	South East Asia	6	Cambodia.274	2011
Cambodia.204_t6	Cambodia	South East Asia	6	Cambodia.346	2011
Cambodia.204_t6	Viet_Nam	South East Asia	6	Viet_Nam.015	2011
Cambodia.204_t6	Viet_Nam	South East Asia	6	Viet_Nam.061	2011
Cambodia.168_t3	Cambodia	South East Asia	6	Cambodia.168	2010
Cambodia.168_t3	Cambodia	South East Asia	6	Cambodia.327	2011
Cambodia.168_t3	Cambodia	South East Asia	6	Cambodia.379	2011
Gambia.49_t2	Gambia	West Africa	6	Gambia.49	2008
Gambia.49_t2	Ghana	West Africa	6	Ghana.213	2011
Guinea.81_t1	Guinea	West Africa	6	Guinea.81	2011
Mali.60_t1	Mali	West Africa	6	Mali.60	2007
Malawi.018_t4	Malawi	East Africa	6	Malawi.018	2011
Malawi.018_t4	Malawi	East Africa	6	Malawi.061	2011
Malawi.018_t4	Malawi	East Africa	6	Malawi.084	2011
Malawi.018_t4	Malawi	East Africa	6	Malawi.250	2011
Malawi.227_t1	Malawi	East Africa	6	Malawi.227	2011
Ghana.362_t2	Ghana	West Africa	6	Ghana.362	2012
Ghana.362_t2	Ghana	West Africa	6	Ghana.375	2012
Ghana.044_t1	Ghana	West Africa	6	Ghana.044	2009
Mali.77_t1	Mali	West Africa	6	Mali.77	2007
Ghana.125_t1	Ghana	West Africa	6	Ghana.125	2010
Ghana.002_t1	Ghana	West Africa	6	Ghana.002	2009
Ghana.118_t1	Ghana	West Africa	6	Ghana.118	2010
French_Guiana.07_t7	French_Guiana	South America	6	French_Guiana.07	2010
French_Guiana.07_t7	French_Guiana	South America	6	French_Guiana.10	2010
French_Guiana.07_t7	French_Guiana	South America	6	French_Guiana.14	2011
French_Guiana.07_t7	French_Guiana	South America	6	French_Guiana.29	2010
French_Guiana.07_t7	French_Guiana	South America	6	French_Guiana.42	2012
French_Guiana.07_t7	French_Guiana	South America	6	French_Guiana.53	2013
French_Guiana.07_t7	Mali	West Africa	6	Mali.51	2007
Malawi.081_t2	Malawi	East Africa	6	Malawi.081	2011
Malawi.081_t2	Malawi	East Africa	6	Malawi.211	2011
Ghana.369_t1	Ghana	West Africa	6	Ghana.369	2012
Guinea.89_t1	Guinea	West Africa	6	Guinea.89	2011
Ghana.173_t4	Ghana	West Africa	6	Ghana.173	2009
Ghana.173_t4	Ghana	West Africa	6	Ghana.312	2012
Ghana.173_t4	Ghana	West Africa	6	Ghana.415	2013
Ghana.173_t4	Guinea	West Africa	6	Guinea.07	2011
Ghana.094_t2	Ghana	West Africa	6	Ghana.094	2010
Ghana.094_t2	Ghana	West Africa	6	Ghana.149	2010
DRC.048_t1	DRC	Central Africa	6	DRC.048	2013
Gambia.35_t1	Gambia	West Africa	6	Gambia.35	2008
Ghana.056_t5	Ghana	West Africa	6	Ghana.056	2009
Ghana.056_t5	Ghana	West Africa	6	Ghana.130	2010
Ghana.056_t5	Ghana	West Africa	6	Ghana.293	2012
Ghana.056_t5	DRC	Central Africa	6	DRC.017	2013
Ghana.056_t5	Uganda	East Africa	6	Uganda.4	2006
Ghana.435_t1	Ghana	West Africa	6	Ghana.435	2013
DRC.056_t3	DRC	Central Africa	6	DRC.056	2013
DRC.056_t3	DRC	Central Africa	6	DRC.069	2013
DRC.056_t3	Malawi	East Africa	6	Malawi.202	2011
DRC.008_t1	DRC	Central Africa	6	DRC.008	2013
Bangladesh.14_t1	Bangladesh	South East Asia	6	Bangladesh.14	2012
Bangladesh.50_t1	Bangladesh	South East Asia	6	Bangladesh.50	2012
Ghana.226_t4	Ghana	West Africa	6	Ghana.226	2011
Ghana.226_t4	Guinea	West Africa	6	Guinea.75	2011
Ghana.226_t4	Mali	West Africa	6	Mali.13	2010
Ghana.226_t4	Mali	West Africa	6	Mali.40	2007
Malawi.073_t1	Malawi	East Africa	6	Malawi.073	2011
DRC.001_t1	DRC	Central Africa	6	DRC.001	2013
Malawi.151_t1	Malawi	East Africa	6	Malawi.151	2011
DRC.059_t1	DRC	Central Africa	6	DRC.059	2013
Cambodia.269_t5	Cambodia	South East Asia	6	Cambodia.269	2011
Cambodia.269_t5	Laos	South East Asia	6	Laos.20	2011
Cambodia.269_t5	Laos	South East Asia	6	Laos.41	2011
Cambodia.269_t5	Myanmar	South East Asia	6	Myanmar.16	2012
Cambodia.269_t5	Viet_Nam	South East Asia	6	Viet_Nam.086	2012
Ghana.111_t1	Ghana	West Africa	6	Ghana.111	2010
Laos.30_t1	Laos	South East Asia	6	Laos.30	2011
Laos.64_t1	Laos	South East Asia	6	Laos.64	2012
Bangladesh.53_t1	Bangladesh	South East Asia	6	Bangladesh.53	2012
Cambodia.242_t4	Cambodia	South East Asia	6	Cambodia.242	2011
Cambodia.242_t4	Cambodia	South East Asia	6	Cambodia.261	2011
Cambodia.242_t4	Cambodia	South East Asia	6	Cambodia.266	2011
Cambodia.242_t4	Cambodia	South East Asia	6	Cambodia.466	2012
Bangladesh.44_t1	Bangladesh	South East Asia	6	Bangladesh.44	2012
Cambodia.102_t5	Cambodia	South East Asia	6	Cambodia.102	2010
Cambodia.102_t5	Cambodia	South East Asia	6	Cambodia.374	2011
Cambodia.102_t5	Cambodia	South East Asia	6	Cambodia.377	2011
Cambodia.102_t5	Cambodia	South East Asia	6	Cambodia.384	2011
Cambodia.102_t5	Cambodia	South East Asia	6	Cambodia.498	2012
Thailand.024_t3	Thailand	South East Asia	6	Thailand.024	2012
Thailand.024_t3	Thailand	South East Asia	6	Thailand.068	2012
Thailand.024_t3	Ghana	West Africa	6	Ghana.071	2010
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.155	2010
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.221	2011
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.230	2011
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.276	2011
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.352	2011
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.365	2011
Cambodia.155_t9	Cambodia	South East Asia	6	Cambodia.448	2012
Cambodia.155_t9	Viet_Nam	South East Asia	6	Viet_Nam.016	2011
Cambodia.155_t9	Viet_Nam	South East Asia	6	Viet_Nam.048	2011
Cambodia.211_t18	Cambodia	South East Asia	6	Cambodia.211	2011
Cambodia.211_t18	Cambodia	South East Asia	6	Cambodia.437	2012
Cambodia.211_t18	Cambodia	South East Asia	6	Cambodia.439	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.056	2011
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.077	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.081	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.091	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.098	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.102	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.112	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.121	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.126	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.151	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.163	2014
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.219	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.246	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.247	2012
Cambodia.211_t18	Thailand	South East Asia	6	Thailand.253	2012
Senegal.097_t1	Senegal	West Africa	1	Senegal.097	2009
Ghana.429_t1	Ghana	West Africa	1	Ghana.429	2013
Guinea.32_t1	Guinea	West Africa	1	Guinea.32	2011
Malawi.042_t1	Malawi	East Africa	4	Malawi.042	2011
Cambodia.099_t2	Cambodia	South East Asia	4	Cambodia.099	2010
Cambodia.099_t2	Cambodia	South East Asia	4	Cambodia.161	2010
Cambodia.286_t2	Cambodia	South East Asia	4	Cambodia.286	2011
Cambodia.286_t2	Cambodia	South East Asia	4	Cambodia.308	2011
Malawi.027_t1	Malawi	East Africa	4	Malawi.027	2011
Ghana.008_t1	Ghana	West Africa	4	Ghana.008	2009
Ghana.040_t3	Ghana	West Africa	4	Ghana.040	2009
Ghana.040_t3	Guinea	West Africa	4	Guinea.23	2011
Ghana.040_t3	Mali	West Africa	4	Mali.67	2007
Ghana.238_t1	Ghana	West Africa	4	Ghana.238	2011
Ghana.033_t2	Ghana	West Africa	4	Ghana.033	2009
Ghana.033_t2	Guinea	West Africa	4	Guinea.88	2011
Senegal.088_t1	Senegal	West Africa	4	Senegal.088	2009
Malawi.215_t1	Malawi	East Africa	4	Malawi.215	2011
Mali.70_t1	Mali	West Africa	4	Mali.70	2007
Gambia.61_t3	Gambia	West Africa	4	Gambia.61	2008
Gambia.61_t3	Ghana	West Africa	4	Ghana.460	2013
Gambia.61_t3	Senegal	West Africa	4	Senegal.102	2008
Ghana.486_t2	Ghana	West Africa	4	Ghana.486	2013
Ghana.486_t2	Mali	West Africa	4	Mali.75	2007
Malawi.253_t2	Malawi	East Africa	4	Malawi.253	2011
Malawi.253_t2	Malawi	East Africa	4	Malawi.263	2011
Gambia.60_t1	Gambia	West Africa	4	Gambia.60	2008
Ghana.285_t1	Ghana	West Africa	4	Ghana.285	2012
Ghana.021_t1	Ghana	West Africa	4	Ghana.021	2009
Preichenowi_t1	Preichenowi	Lab	1	Preichenowi	"NA"
Ghana.372_t1	Ghana	West Africa	4	Ghana.372	2012
Gambia.07_t2	Gambia	West Africa	3	Gambia.07	2008
Gambia.07_t2	Ghana	West Africa	3	Ghana.100	2010
DRC.037_t1	DRC	Central Africa	2	DRC.037	2013
Malawi.004_t1	Malawi	East Africa	2	Malawi.004	2011
Guinea.22_t1	Guinea	West Africa	3	Guinea.22	2011
Malawi.076_t1	Malawi	East Africa	2	Malawi.076	2011
DRC.105_t1	DRC	Central Africa	3	DRC.105	2013
Ghana.026_t1	Ghana	West Africa	2	Ghana.026	2009
Malawi.184_t1	Malawi	East Africa	2	Malawi.184	2011
Guinea.78_t1	Guinea	West Africa	2	Guinea.78	2011
DRC.041_t2	DRC	Central Africa	2	DRC.041	2013
DRC.041_t2	Ghana	West Africa	2	Ghana.348	2012
Ghana.294_t1	Ghana	West Africa	2	Ghana.294	2012
Ghana.168_t5	Ghana	West Africa	2	Ghana.168	2010
Ghana.168_t5	Ghana	West Africa	2	Ghana.446	2013
Ghana.168_t5	Senegal	West Africa	2	Senegal.010	2007
Ghana.168_t5	Senegal	West Africa	2	Senegal.036	2010
Ghana.168_t5	Senegal	West Africa	2	Senegal.043	2010
Ghana.049_t1	Ghana	West Africa	2	Ghana.049	2009
DRC.063_t2	DRC	Central Africa	2	DRC.063	2013
DRC.063_t2	Malawi	East Africa	2	Malawi.028	2011
Malawi.138_t1	Malawi	East Africa	2	Malawi.138	2011
DRC.015_t1	DRC	Central Africa	2	DRC.015	2013
Gambia.10_t10	Gambia	West Africa	2	Gambia.10	2008
Gambia.10_t10	Senegal	West Africa	2	Senegal.019	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.021	2010
Gambia.10_t10	Senegal	West Africa	2	Senegal.031	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.032	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.039	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.057	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.071	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.080	2011
Gambia.10_t10	Senegal	West Africa	2	Senegal.094	2010
Ghana.148_t1	Ghana	West Africa	2	Ghana.148	2010
Ghana.220_t1	Ghana	West Africa	2	Ghana.220	2010
Ghana.413_t3	Ghana	West Africa	3	Ghana.413	2013
Ghana.413_t3	Senegal	West Africa	3	Senegal.058	2009
Ghana.413_t3	Senegal	West Africa	3	Senegal.082	2009
